Scenario,Year,ghg,lcspe,fed,esfe,co2elc,ccsfos,nonnrg
5th,2020,52.192,0.1208438015306068,369.0,0.1880839967112265,419.29620981167545,0.0,11.789
5th,2030,21.491,0.1697057017147424,293.0,0.2304516580708132,3.6947313181675367,0.006,7.425
5th,2040,5.588,0.2189279857071839,296.0,0.3020609072951752,-49.16856018916883,0.045,4.053
5th,2050,0.999,0.2644281828685061,325.0,0.404113030649133,-65.78372583130295,0.052,1.938
5th,2060,-1.952,0.2897847336501741,337.0,0.4361544162641698,-81.19226066707697,0.045,1.199
5th,2070,-5.47,0.2824179860133483,355.0,0.4612221429300344,-93.62264423498354,0.047,0.196
5th,2080,-7.504,0.2548772532460522,361.0,0.4784800809075156,-95.56925271122904,0.026,-1.337
5th,2090,-9.882,0.2422682141854702,342.0,0.490721961098769,-92.79060369902196,0.002,-1.829
5th,2100,-10.297,0.2381379310151095,321.0,0.495587285387148,-103.8822809571639,0.0,-3.261
95th,2020,57.998,0.1825939479338829,458.0,0.247995217927799,522.2672003628422,0.024,21.202
95th,2030,36.154,0.518472687553315,447.0,0.3532088758407138,215.36027953099293,5.426,13.25
95th,2040,23.194,0.7568167198563884,487.0,0.5115195516463035,58.75985534947228,10.279,9.964
95th,2050,14.701,0.8903352088784768,540.0,0.6400296894897619,11.096974116297792,12.638,9.402
95th,2060,9.722,0.9298528558945371,583.0,0.7128587430085743,4.807863737373967,15.653,9.146
95th,2070,8.296,0.9658119482071624,628.0,0.740345233664955,4.721146554295469,14.6,9.046
95th,2080,8.039,0.9800390135201176,685.0,0.7585043812161903,1.222638643529685,15.651,8.549
95th,2090,7.637,0.986282833729322,752.0,0.7683170231187241,0.5313209688565071,16.0,8.198
95th,2100,7.486,0.992682665551264,818.0,0.7820478016003474,1.4072167081715172,15.575,8.165
IMP-LD,2020,54.008,,422.0,0.189919894839646,,,
IMP-LD,2030,23.982,,313.0,0.3327492755076392,,,
IMP-LD,2040,13.246,,267.0,0.4757162136860257,,,
IMP-LD,2050,7.113,,243.0,0.5527892823623252,,,
IMP-LD,2060,4.317,,240.0,0.5688845373944074,,,
IMP-LD,2070,2.263,,240.0,0.566238929378358,,,
IMP-LD,2080,0.707,,243.0,0.5495436026163982,,,
IMP-LD,2090,0.194,,241.0,0.544459868826934,,,
IMP-LD,2100,-0.073,,239.0,0.5422795678780827,,,
IMP-Ren,2020,57.47,0.1598342354702128,443.0,0.1995243985869957,456.6466804176873,0.0,17.673
IMP-Ren,2030,29.647,0.398221846783975,404.0,0.2966566453800945,69.6258335334748,0.407,10.923
IMP-Ren,2040,16.824,0.6749198795873751,379.0,0.5095965130923885,14.280159285518154,0.927,9.556
IMP-Ren,2050,10.358,0.8519064617172121,369.0,0.6628486749498225,3.0882802147920025,0.558,9.313
IMP-Ren,2060,8.092,0.9131903311562692,387.0,0.7100489972935616,-0.4844937807235142,0.402,8.999
IMP-Ren,2070,7.201,0.939160288297816,419.0,0.7325613012345591,-1.4396957205650462,0.299,8.71
IMP-Ren,2080,6.652,0.9536347911094047,447.0,0.7420548055879382,-1.482295835661896,0.191,8.165
IMP-Ren,2090,5.952,0.9594017863114932,468.0,0.7449616762049196,-1.7232381238974828,0.168,7.423
IMP-Ren,2100,5.586,0.9640401188725434,500.0,0.7484292430740966,-1.6495845214393168,0.148,6.957
IMP-SP,2020,55.002,0.1749242039123732,414.0,0.2019043806266368,428.5270797735233,0.001,17.711
IMP-SP,2030,32.743,0.3368770608137518,410.0,0.2889364783309218,125.91783855153544,0.241,9.948
IMP-SP,2040,18.904,0.5233497436546909,390.0,0.4134983492080768,28.95943373074589,0.617,5.139
IMP-SP,2050,9.52,0.7085853465926358,355.0,0.5729801304335934,15.966239447657404,0.487,2.573
IMP-SP,2060,5.472,0.8130615671246089,335.0,0.6347582282485633,9.198749884362762,0.345,2.235
IMP-SP,2070,2.395,0.8925352048653352,321.0,0.6853633456600029,3.7935097490319247,0.234,1.946
IMP-SP,2080,0.691,0.9302750678073538,306.0,0.6984661680122567,0.4516439566890731,0.153,1.567
IMP-SP,2090,-0.147,0.9411276878210696,281.0,0.6944427428499792,-1.6786713256880912,0.131,1.151
IMP-SP,2100,-1.08,0.9619921587833186,264.0,0.7112959919769094,-3.451469950164508,0.094,0.658
Median,2020,55.092,0.1628955889104696,414.0,0.2027239041693158,459.1583334631807,0.0,17.711
Median,2030,31.454,0.3458715698197179,399.0,0.2656694269365413,99.1606195009142,0.594,10.492
Median,2040,17.14,0.5973560167028804,394.0,0.3990503174289175,2.516088065628085,1.683,7.269
Median,2050,8.586,0.7788045750690368,410.0,0.5187205641815655,-5.492370169032874,2.229,5.13
Median,2060,5.472,0.8487275739283493,449.0,0.5803318572870726,-7.124095431471336,2.868,4.997
